customerID,gender,SeniorCitizen,PhoneService,MultipleLines,DeviceProtection,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
5365,0,0,0,1,0,1,2,0.11542288557213931,3.396184839838611,0
3953,1,0,1,0,2,0,3,0.3850746268656716,7.544067522789543,0
2558,1,0,1,0,0,1,3,0.35422885572139307,4.683519152399068,1
5524,1,0,0,1,2,0,0,0.23930348258706463,7.517928376248826,0
6500,0,0,1,0,0,1,2,0.5218905472636816,5.02157523413459,1
6540,0,0,1,2,2,1,2,0.8099502487562189,6.709913910530146,1
1001,1,0,1,2,0,1,1,0.7049751243781094,7.57527691190311,0
4760,0,0,0,1,0,0,3,0.11442786069651739,5.710095836712793,0
5593,0,0,1,2,2,1,2,0.8611940298507462,8.021600948290835,1
4524,1,0,1,0,0,0,0,0.3771144278606965,8.157069450063739,0
6860,1,0,1,0,0,1,3,0.3154228855721393,6.375791136013581,0
5278,1,0,1,0,1,0,1,0.006965174129353213,5.789348362985848,0
5740,1,0,1,2,2,0,1,0.8169154228855721,8.64490015493697,0
174,1,0,1,2,2,1,0,0.8502487562189055,8.524426964478117,1
3606,1,0,1,0,2,1,2,0.8681592039800995,7.895826991950878,0
2550,0,0,1,2,2,0,1,0.945273631840796,8.974003925875945,0
5809,0,0,1,0,1,0,3,0.023880597014925342,6.930445888901835,0
7008,1,0,1,2,2,0,0,0.8800995024875623,8.90683374917743,0
2930,0,0,1,0,2,0,1,0.36766169154228856,6.26975894288704,1
2921,0,0,1,0,2,1,2,0.7144278606965173,7.529889692295663,0
6196,1,1,0,1,2,1,2,0.21293532338308457,3.680090948080857,1
1140,1,0,1,0,1,0,0,0.015422885572139305,5.309504555938601,0
723,1,0,1,0,1,0,3,0.018905472636815884,3.0032042883926917,1
2535,0,0,1,2,0,1,1,0.4144278606965174,8.16197432973217,0
4469,1,0,1,0,0,0,1,0.4114427860696518,7.996418236796579,0
4863,0,0,1,0,0,1,0,0.3686567164179104,7.3334150943758205,0
4574,1,0,1,2,0,1,2,0.8069651741293532,8.465720933647274,1
6108,1,0,0,1,0,0,2,0.11890547263681589,3.407841924380824,1
3724,1,0,1,2,2,1,1,0.7164179104477612,8.759268402609305,0
6188,0,0,1,0,0,1,3,0.4621890547263682,6.996772975299789,1
2694,0,1,1,2,2,1,1,0.7771144278606964,8.819805747406347,0
3472,1,1,1,0,2,1,1,0.7686567164179104,5.202081758667211,0
4834,0,0,1,0,2,0,3,0.47661691542288565,7.536070562040541,0
5184,1,0,1,0,1,0,0,0.019402985074626844,3.005682604407159,0
2378,1,1,1,0,0,0,0,0.26865671641791045,3.8122026701459353,0
4413,0,0,1,2,0,0,0,0.8124378109452737,8.888991203120556,0
4282,1,0,1,0,0,1,2,0.5119402985074627,5.758586266696875,1
4646,0,0,1,0,2,1,1,0.5626865671641791,8.174223894533617,0
3819,1,0,1,2,2,1,2,0.8766169154228854,8.174491592543683,1
5792,0,0,1,2,2,1,0,0.7920398009950248,7.007962539399163,1
6252,1,0,1,0,0,0,3,0.3114427860696517,6.164787403438236,0
6660,0,0,1,2,0,1,1,0.5069651741293533,8.49133164588989,0
6945,0,0,1,0,1,0,3,0.02487562189054726,6.036079339866934,0
3259,0,0,1,2,2,1,1,0.6129353233830845,8.489092026305327,0
2855,0,0,1,2,0,1,2,0.5766169154228856,6.889031069983857,0
2593,0,0,1,2,0,1,2,0.6592039800995024,8.270448306849701,0
4202,1,0,1,0,0,0,3,0.30845771144278605,4.574710978503383,0
5499,0,0,1,0,0,1,2,0.6208955223880598,4.970854424084411,1
5417,1,0,1,2,0,1,1,0.6119402985074627,8.347068944077664,0
2043,0,0,1,2,2,1,1,0.4567164179104478,8.35563850277115,0
5675,0,1,1,2,0,1,2,0.7164179104477612,8.252902071755033,0
6619,0,0,1,0,0,1,1,0.8044776119402984,7.26290906654893,1
4648,0,1,1,2,0,1,1,0.5099502487562189,7.4688842072573705,0
5295,0,1,1,2,0,1,1,0.6208955223880598,6.450944243522384,1
3256,0,1,1,0,2,1,1,0.56318407960199,8.402085324303531,0
1128,1,1,1,2,0,1,2,0.7681592039800995,7.468827149172224,1
6187,0,0,1,2,0,1,1,0.8099502487562189,8.75008111178088,0
3569,1,1,1,2,2,1,2,0.8975124378109453,8.864513517029854,0
